Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
67,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,0.29,0.04,0.00,1.23,0.91,0.00,0.41,0.95,1.81,0.04,0.00,0.00,7.86,0.45,0.62,42.3,Matches,cc700722
68,Jim Allevinah,ga GAB,MFFW,Clermont Foot,fr Ligue 1,26,1995,16.5,0.06,0.00,0.00,0.97,2.06,0.12,2.06,0.36,0.79,0.00,0.06,0.00,3.94,0.97,1.39,41.0,Matches,1956b948
69,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,1996,7.3,0.14,0.00,0.00,1.64,1.51,0.27,0.68,0.82,1.10,0.14,0.00,0.00,5.48,0.96,1.51,38.9,Matches,cea4ee8f
70,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25,1996,3.8,0.79,0.00,0.00,2.37,1.84,0.53,0.26,1.58,0.53,0.00,0.00,0.00,6.32,2.37,2.11,52.9,Matches,cea4ee8f
71,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,0.10,0.00,0.00,0.89,1.31,0.47,1.05,1.05,1.52,0.00,0.00,0.00,5.03,0.26,0.73,26.3,Matches,862a1c15
72,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,0.33,0.00,0.00,1.04,1.16,0.12,6.18,1.78,1.20,0.00,0.04,0.00,5.77,1.66,1.16,58.8,Matches,f4290206
73,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,0.31,0.00,0.00,2.15,0.61,0.06,1.66,1.84,1.72,0.00,0.06,0.00,7.73,2.82,2.09,57.5,Matches,aa5322d5
74,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,6f392eb8
75,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,0.29,0.00,0.00,1.11,0.63,0.05,0.14,2.17,0.68,0.00,0.00,0.00,6.81,2.71,1.98,57.7,Matches,3ecc11d8
76,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,0.16,0.08,0.00,2.21,0.49,0.00,6.15,0.90,1.56,0.00,0.08,0.00,8.03,0.74,0.66,52.9,Matches,c9e99e49
