Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
2083,Brayann Pereira,fr FRA,DFMF,Lens,fr Ligue 1,18,2003,2,0,15,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.03,1.03,0.00,1.03,Matches,5c42e7ce
2084,Danilo Pereira,pt POR,MF,Paris S-G,fr Ligue 1,29,1991,27,22,2038,22.6,0.22,0.00,0.22,0.00,0.00,0.09,0.00,0.22,0.00,0.22,0.22,0.22,0.16,0.16,0.03,0.19,0.17,0.03,0.19,0.17,0.19,Matches,8fd9996f
2085,Mathias Pereira Lage,pt POR,DFMF,Angers,fr Ligue 1,24,1996,24,11,1040,11.6,0.34,0.17,0.34,0.00,0.00,0.00,0.00,0.35,0.17,0.52,0.35,0.52,0.24,0.24,0.11,0.34,0.24,0.11,0.35,0.24,0.35,Matches,8846a40f
2086,Ricardo Pereira,pt POR,DF,Leicester City,eng Premier League,27,1993,14,13,991,11.0,0.09,0.27,0.09,0.00,0.00,0.27,0.00,0.09,0.27,0.36,0.09,0.36,0.08,0.08,0.13,0.21,0.08,0.13,0.21,0.08,0.21,Matches,75a72a99
2087,Gastón Pereiro,uy URU,FWMF,Cagliari,it Serie A,26,1995,29,9,975,10.8,0.37,0.19,0.37,0.00,0.00,0.09,0.00,0.37,0.18,0.55,0.37,0.55,0.16,0.16,0.19,0.34,0.15,0.19,0.34,0.15,0.34,Matches,7ec7738e
2088,Luan Peres Petroni,br BRA,DF,Marseille,fr Ligue 1,27,1994,34,29,2679,29.8,0.00,0.07,0.00,0.00,0.00,0.20,0.00,0.00,0.07,0.07,0.00,0.07,0.01,0.01,0.05,0.05,0.01,0.05,0.05,0.01,0.05,Matches,a5549ec1
2089,Dor Peretz,il ISR,MF,Venezia,it Serie A,26,1995,18,4,585,6.5,0.00,0.15,0.00,0.00,0.00,0.31,0.00,0.00,0.15,0.15,0.00,0.15,0.15,0.15,0.03,0.18,0.15,0.03,0.18,0.15,0.18,Matches,e2a302a8
2090,Roberto Pereyra,ar ARG,MFFW,Udinese,it Serie A,30,1991,24,22,1794,19.9,0.15,0.25,0.10,0.05,0.10,0.50,0.05,0.15,0.25,0.40,0.10,0.35,0.27,0.19,0.22,0.40,0.27,0.21,0.48,0.19,0.40,Matches,75f2c59f
2091,Ayoze Pérez,es ESP,MF,Leicester City,eng Premier League,28,1993,14,6,445,4.9,0.41,0.61,0.41,0.00,0.00,0.00,0.20,0.40,0.61,1.01,0.40,1.01,0.31,0.31,0.39,0.69,0.30,0.39,0.69,0.30,0.69,Matches,819aa8e7
2092,Carles Pérez,es ESP,MFDF,Roma,it Serie A,23,1998,19,3,554,6.2,0.16,0.16,0.16,0.00,0.00,0.32,0.00,0.16,0.16,0.32,0.16,0.32,0.31,0.31,0.21,0.52,0.30,0.22,0.52,0.30,0.52,Matches,a8f21b9f
2093,Iñigo Pérez,es ESP,MF,Osasuna,es La Liga,33,1988,10,4,338,3.8,0.26,0.00,0.26,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,0.05,0.05,0.24,0.29,0.04,0.24,0.28,0.04,0.28,Matches,bc61cc65
2094,Juan Pérez,es ESP,GK,Osasuna,es La Liga,25,1996,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f29e08b
2095,Kike Pérez,es ESP,MFFW,Elche,es La Liga,24,1997,12,5,519,5.8,0.34,0.00,0.34,0.00,0.00,0.17,0.00,0.35,0.00,0.35,0.35,0.35,0.17,0.17,0.21,0.38,0.18,0.21,0.38,0.18,0.38,Matches,237a3851
2096,Lucas Pérez,es ESP,FW,Elche,es La Liga,32,1988,18,16,1266,14.1,0.14,0.07,0.14,0.00,0.00,0.00,0.00,0.14,0.07,0.21,0.14,0.21,0.13,0.13,0.12,0.26,0.13,0.12,0.25,0.13,0.25,Matches,a300ac7e
2097,Lucas Pérez,es ESP,FWMF,Cádiz,es La Liga,32,1988,15,11,1060,11.8,0.25,0.17,0.25,0.00,0.00,0.08,0.00,0.25,0.17,0.42,0.25,0.42,0.27,0.27,0.36,0.64,0.28,0.37,0.64,0.28,0.64,Matches,a300ac7e
2098,Nehuén Pérez,ar ARG,DF,Udinese,it Serie A,21,2000,20,19,1692,18.8,0.00,0.05,0.00,0.00,0.00,0.32,0.00,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.04,0.10,0.06,0.04,0.10,0.06,0.10,Matches,f7c491f1
2099,Mattia Perin,it ITA,GK,Juventus,it Serie A,28,1992,5,5,405,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4c62d0c8
2100,Ivan Perišić,hr CRO,DF,Inter,it Serie A,32,1989,35,35,2821,31.3,0.26,0.19,0.22,0.03,0.03,0.13,0.00,0.26,0.19,0.45,0.22,0.41,0.16,0.14,0.27,0.41,0.16,0.27,0.44,0.14,0.41,Matches,6fe90922
2101,Sonny Perkins,eng ENG,FW,West Ham,eng Premier League,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches,87f12e30
2102,Diego Perotti,ar ARG,MFFW,Salernitana,it Serie A,33,1988,11,1,287,3.2,0.00,0.00,0.00,0.00,0.31,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.25,0.13,0.34,0.49,0.11,0.60,0.24,0.36,Matches,a40d5a0c
2103,Romain Perraud,fr FRA,DF,Southampton,eng Premier League,23,1997,20,18,1623,18.0,0.00,0.06,0.00,0.00,0.00,0.17,0.00,0.00,0.06,0.06,0.00,0.06,0.04,0.04,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches,6dfd8f05
2104,Lucas Perrin,fr FRA,DF,Strasbourg,fr Ligue 1,22,1998,31,29,2502,27.8,0.04,0.04,0.04,0.00,0.00,0.18,0.00,0.04,0.04,0.07,0.04,0.07,0.02,0.02,0.03,0.05,0.02,0.03,0.05,0.02,0.05,Matches,49070d66
2105,Mario Perrone,it ITA,DF,Salernitana,it Serie A,18,2003,1,0,15,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6cd33e2a
2106,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33,1987,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c89e8aae
2107,Matteo Pessina,it ITA,MF,Atalanta,it Serie A,24,1997,27,18,1438,16.0,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.06,0.06,0.13,0.06,0.13,0.16,0.16,0.13,0.28,0.16,0.12,0.28,0.16,0.28,Matches,780e3631
2108,Andrea Petagna,it ITA,FW,Napoli,it Serie A,26,1995,24,4,586,6.5,0.46,0.15,0.46,0.00,0.00,0.15,0.00,0.46,0.15,0.61,0.46,0.61,0.29,0.29,0.26,0.55,0.29,0.26,0.55,0.29,0.55,Matches,03f946ed
2109,Nils Petersen,de GER,FW,Freiburg,de Bundesliga,32,1988,22,3,580,6.4,0.78,0.16,0.78,0.00,0.00,0.00,0.00,0.78,0.16,0.93,0.78,0.93,0.37,0.37,0.09,0.47,0.37,0.10,0.46,0.37,0.46,Matches,f93e6e94
2110,Danijel Petković,me MNE,GK,Angers,fr Ligue 1,28,1993,15,15,1350,15.0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b98cea65
2111,Léo Pétrot,fr FRA,DF,Lorient,fr Ligue 1,24,1997,22,21,1815,20.2,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,0.03,0.03,0.00,0.04,0.03,0.00,0.04,0.03,0.04,Matches,00638016
2112,Njegoš Petrović,rs SRB,MF,Granada,es La Liga,22,1999,15,10,918,10.2,0.00,0.10,0.00,0.00,0.00,0.49,0.00,0.00,0.10,0.10,0.00,0.10,0.09,0.09,0.02,0.10,0.09,0.02,0.10,0.09,0.10,Matches,0cb29e91
2113,Jens Petter Hauge,no NOR,MFFW,Eint Frankfurt,de Bundesliga,21,1999,26,9,1040,11.6,0.17,0.17,0.17,0.00,0.00,0.34,0.00,0.17,0.17,0.35,0.17,0.35,0.19,0.19,0.12,0.30,0.19,0.12,0.31,0.19,0.31,Matches,12c35abe
2114,Alex Petxa,es ESP,DFMF,Athletic Club,es La Liga,24,1997,17,1,412,4.6,0.00,0.00,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.09,0.03,0.05,0.09,0.03,0.09,Matches,97d08e60
2115,Germán Pezzella,ar ARG,DF,Betis,es La Liga,30,1991,23,22,1988,22.1,0.05,0.00,0.05,0.00,0.00,0.23,0.05,0.05,0.00,0.05,0.05,0.05,0.07,0.07,0.00,0.07,0.07,0.00,0.07,0.07,0.07,Matches,8c725b43
2116,Giuseppe Pezzella,it ITA,DFMF,Atalanta,it Serie A,23,1997,21,10,1072,11.9,0.00,0.17,0.00,0.00,0.00,0.25,0.00,0.00,0.17,0.17,0.00,0.17,0.07,0.07,0.09,0.16,0.07,0.09,0.16,0.07,0.16,Matches,149c5f5d
2117,Immanuel Pherai,nl NED,MF,Dortmund,de Bundesliga,20,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f168d9b9
2118,Maximilian Philipp,de GER,MF,Wolfsburg,de Bundesliga,27,1994,22,12,963,10.7,0.09,0.37,0.09,0.00,0.00,0.19,0.00,0.09,0.37,0.47,0.09,0.47,0.13,0.13,0.14,0.26,0.13,0.14,0.27,0.13,0.27,Matches,061e8e23
2119,Romain Philippoteaux,fr FRA,MF,Brest,fr Ligue 1,33,1988,1,0,24,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f98b15f0
2120,Kalvin Phillips,eng ENG,MF,Leeds United,eng Premier League,25,1995,20,18,1596,17.7,0.00,0.06,0.00,0.00,0.00,0.23,0.00,0.00,0.06,0.06,0.00,0.06,0.06,0.06,0.06,0.11,0.06,0.05,0.11,0.06,0.11,Matches,4f565d77
2121,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,eng Premier League,19,2002,1,0,5,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,19f4d211
2122,Jérôme Phojo,fr FRA,DF,Clermont Foot,fr Ligue 1,28,1993,1,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ff44d058
2123,Krzysztof Piątek,pl POL,FW,Fiorentina,it Serie A,26,1995,14,9,733,8.1,0.37,0.00,0.37,0.00,0.12,0.00,0.00,0.37,0.00,0.37,0.37,0.37,0.47,0.37,0.12,0.49,0.47,0.12,0.59,0.37,0.49,Matches,17f3620a
2124,Krzysztof Piątek,pl POL,FW,Hertha BSC,de Bundesliga,26,1995,9,4,347,3.9,0.26,0.00,0.26,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,0.38,0.38,0.00,0.38,0.38,0.00,0.38,0.38,0.38,Matches,17f3620a
2125,Pablo Piatti,ar ARG,MFFW,Elche,es La Liga,32,1989,10,3,312,3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.14,0.20,0.06,0.14,0.20,0.06,0.20,Matches,48e89655
2126,Cristiano Piccini,it ITA,DF,Valencia,es La Liga,28,1992,6,3,322,3.6,0.28,0.00,0.28,0.00,0.00,0.28,0.00,0.28,0.00,0.28,0.28,0.28,0.08,0.08,0.06,0.14,0.08,0.07,0.15,0.08,0.15,Matches,32c0491f
2127,Roberto Piccoli,it ITA,FW,Genoa,it Serie A,20,2001,5,2,218,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.17,0.08,0.08,0.16,0.08,0.16,Matches,1cadaf34
2128,Roberto Piccoli,it ITA,FW,Atalanta,it Serie A,20,2001,12,1,196,2.2,0.45,0.00,0.45,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46,0.41,0.41,0.18,0.55,0.40,0.17,0.57,0.40,0.57,Matches,1cadaf34
2129,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,27,1994,35,35,3150,35.0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4806ec67
2130,Jérémy Pied,fr FRA,DFFW,Lille,fr Ligue 1,32,1989,2,0,13,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,Matches,a634b9d2
2131,Amos Pieper,de GER,DF,Arminia,de Bundesliga,23,1998,27,27,2379,26.4,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.02,0.06,0.04,0.02,0.06,0.04,0.06,Matches,526ea7cc
2132,Ronaël Pierre-Gabriel,fr FRA,DF,Brest,fr Ligue 1,23,1998,30,29,2548,28.3,0.00,0.04,0.00,0.00,0.00,0.21,0.00,0.00,0.04,0.04,0.00,0.04,0.02,0.02,0.06,0.08,0.02,0.06,0.08,0.02,0.08,Matches,64ba07c0
2133,Erik Pieters,nl NED,DF,Burnley,eng Premier League,32,1988,12,8,730,8.1,0.00,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.12,0.12,0.00,0.12,0.04,0.04,0.11,0.16,0.04,0.12,0.15,0.04,0.15,Matches,1ef37668
2134,Tomás Pina Isla,es ESP,MF,Alavés,es La Liga,33,1987,29,16,1444,16.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.02,0.04,0.03,0.02,0.04,0.03,0.04,Matches,e54bd0a2
2135,Andrea Pinamonti,it ITA,FW,Empoli,it Serie A,22,1999,36,32,2869,31.9,0.41,0.06,0.28,0.13,0.13,0.13,0.00,0.41,0.06,0.47,0.28,0.35,0.38,0.29,0.10,0.40,0.38,0.10,0.48,0.30,0.40,Matches,08aa9cd1
2136,Orbelín Pineda,mx MEX,MFFW,Celta Vigo,es La Liga,25,1996,7,0,99,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.64,0.09,0.73,0.65,0.07,0.72,0.65,0.72,Matches,411fabd7
2137,Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,28,1993,32,32,2694,29.9,0.03,0.03,0.03,0.00,0.00,0.03,0.00,0.03,0.03,0.07,0.03,0.07,0.05,0.05,0.04,0.09,0.05,0.04,0.09,0.05,0.09,Matches,e541326e
2138,Yeremi Pino,es ESP,MFFW,Villarreal,es La Liga,18,2002,31,21,1678,18.6,0.32,0.22,0.32,0.00,0.00,0.11,0.00,0.32,0.21,0.54,0.32,0.54,0.34,0.34,0.20,0.54,0.34,0.20,0.54,0.34,0.54,Matches,540ec57b
2139,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,31,1990,1,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f6a06749
2140,Riccardo Pinzi,it ITA,FW,Udinese,it Serie A,17,2003,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5dafcdce
2141,Gerard Piqué,es ESP,DF,Barcelona,es La Liga,34,1987,27,25,2092,23.2,0.04,0.00,0.04,0.00,0.00,0.43,0.04,0.04,0.00,0.04,0.04,0.04,0.09,0.09,0.03,0.12,0.09,0.03,0.12,0.09,0.12,Matches,adfc9123
2142,Marko Pjaca,hr CRO,MF,Torino,it Serie A,26,1995,24,13,1149,12.8,0.23,0.00,0.23,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,0.16,0.16,0.11,0.27,0.16,0.11,0.27,0.16,0.27,Matches,2c38b327
2143,Marvin Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,29,1992,21,19,1637,18.2,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.00,0.16,0.16,0.00,0.16,0.03,0.03,0.24,0.26,0.03,0.24,0.27,0.03,0.27,Matches,f7aa75bd
2144,Alassane Pléa,fr FRA,MFFW,M'Gladbach,de Bundesliga,28,1993,33,24,2070,23.0,0.43,0.26,0.30,0.13,0.13,0.17,0.00,0.43,0.26,0.70,0.30,0.57,0.40,0.30,0.37,0.66,0.40,0.36,0.77,0.30,0.66,Matches,bc6bd723
2145,Tommaso Pobega,it ITA,MF,Torino,it Serie A,22,1999,33,24,2240,24.9,0.16,0.08,0.16,0.00,0.00,0.44,0.00,0.16,0.08,0.24,0.16,0.24,0.15,0.15,0.10,0.26,0.15,0.10,0.26,0.15,0.26,Matches,55a1cac2
2146,Daniel Podence,pt POR,FWMF,Wolves,eng Premier League,25,1995,26,15,1484,16.5,0.12,0.18,0.12,0.00,0.00,0.12,0.00,0.12,0.18,0.30,0.12,0.30,0.16,0.16,0.27,0.44,0.16,0.27,0.44,0.16,0.44,Matches,7fcc71d8
2147,Suf Podgoreanu,il ISR,MF,Spezia,it Serie A,19,2002,5,1,113,1.3,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,0.00,0.80,0.00,0.00,0.00,0.08,0.03,0.03,0.06,0.03,0.06,Matches,d697a2d0
2148,Paul Pogba,fr FRA,MF,Manchester Utd,eng Premier League,28,1993,20,16,1349,15.0,0.07,0.60,0.07,0.00,0.00,0.47,0.07,0.07,0.60,0.67,0.07,0.67,0.19,0.19,0.27,0.45,0.19,0.27,0.46,0.19,0.46,Matches,867239d3
2149,Joel Pohjanpalo,fi FIN,FW,Leverkusen,de Bundesliga,26,1994,2,0,12,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ea003d07
2150,Matteo Politano,it ITA,MFFW,Napoli,it Serie A,27,1993,33,20,1650,18.3,0.16,0.22,0.16,0.00,0.00,0.16,0.00,0.16,0.22,0.38,0.16,0.38,0.14,0.14,0.21,0.35,0.14,0.21,0.35,0.14,0.35,Matches,5e861944
2151,Julian Pollersbeck,de GER,GK,Lyon,fr Ligue 1,26,1994,6,4,436,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d6f6ce93
2152,Sebastian Polter,de GER,FW,Bochum,de Bundesliga,30,1991,33,27,2341,26.0,0.38,0.04,0.35,0.04,0.08,0.08,0.00,0.38,0.04,0.42,0.35,0.38,0.39,0.33,0.10,0.43,0.39,0.10,0.49,0.33,0.43,Matches,3745e8bd
2153,Ezequiel Ponce,ar ARG,FW,Elche,es La Liga,24,1997,13,5,667,7.4,0.14,0.00,0.14,0.00,0.00,0.14,0.14,0.13,0.00,0.13,0.13,0.13,0.32,0.32,0.05,0.38,0.33,0.05,0.38,0.33,0.38,Matches,ccbbe661
2154,Marin Pongračić,hr CRO,DF,Dortmund,de Bundesliga,23,1997,17,9,827,9.2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,2a6cd437
2155,Pere Pons,es ESP,MF,Alavés,es La Liga,28,1993,27,17,1366,15.2,0.07,0.00,0.07,0.00,0.00,0.13,0.00,0.07,0.00,0.07,0.07,0.07,0.11,0.11,0.07,0.18,0.11,0.07,0.18,0.11,0.18,Matches,29b61deb
2156,Nick Pope,eng ENG,GK,Burnley,eng Premier League,29,1992,36,36,3240,36.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4b40d9ca
2157,Manolo Portanova,it ITA,MF,Genoa,it Serie A,21,2000,24,17,1322,14.7,0.07,0.00,0.07,0.00,0.00,0.27,0.00,0.07,0.00,0.07,0.07,0.07,0.23,0.23,0.05,0.28,0.23,0.05,0.28,0.23,0.28,Matches,c8c0dccd
2158,Portu,es ESP,MFFW,Real Sociedad,es La Liga,29,1992,37,17,1590,17.7,0.06,0.11,0.00,0.06,0.06,0.28,0.00,0.06,0.11,0.17,0.00,0.11,0.18,0.14,0.14,0.27,0.18,0.14,0.32,0.14,0.27,Matches,1bda5842
2159,Stefan Posch,at AUT,DF,Hoffenheim,de Bundesliga,24,1997,28,26,2199,24.4,0.08,0.00,0.08,0.00,0.00,0.20,0.00,0.08,0.00,0.08,0.08,0.08,0.05,0.05,0.03,0.09,0.05,0.03,0.08,0.05,0.08,Matches,7f609bfc
2160,Sergio Postigo,es ESP,DF,Levante,es La Liga,32,1988,13,10,848,9.4,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.01,0.02,0.03,0.01,0.03,Matches,474ecac8
2161,Yussuf Poulsen,dk DEN,FWMF,RB Leipzig,de Bundesliga,27,1994,25,12,1079,12.0,0.50,0.00,0.50,0.00,0.00,0.17,0.00,0.50,0.00,0.50,0.50,0.50,0.45,0.45,0.15,0.61,0.45,0.15,0.60,0.45,0.60,Matches,d2416c2e
2162,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,22,1999,13,13,1170,13.0,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c252c705
2163,Darío Poveda,es ESP,FWMF,Getafe,es La Liga,24,1997,15,3,380,4.2,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.07,0.07,0.02,0.10,0.08,0.02,0.10,0.08,0.10,Matches,cbdf7d5c
2164,José Pozo,es ESP,MFDF,Rayo Vallecano,es La Liga,25,1996,5,0,72,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.50,0.75,0.23,0.48,0.71,0.23,0.71,Matches,fc8b614b
2165,Dennis Praet,be BEL,MF,Torino,it Serie A,27,1994,23,17,1539,17.1,0.12,0.12,0.12,0.00,0.00,0.18,0.00,0.12,0.12,0.23,0.12,0.23,0.14,0.14,0.23,0.37,0.14,0.23,0.37,0.14,0.37,Matches,86695068
2166,Mateusz Praszelik,pl POL,MF,Hellas Verona,it Serie A,20,2000,2,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,ec6773f5
2167,Abdón Prats,es ESP,FW,Mallorca,es La Liga,28,1992,23,6,641,7.1,0.42,0.00,0.42,0.00,0.00,0.42,0.00,0.42,0.00,0.42,0.42,0.42,0.30,0.30,0.11,0.41,0.30,0.11,0.41,0.30,0.41,Matches,d1b060e2
2168,Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,27,1993,32,27,2186,24.3,0.04,0.00,0.04,0.00,0.00,0.16,0.00,0.04,0.00,0.04,0.04,0.04,0.09,0.09,0.09,0.18,0.09,0.09,0.18,0.09,0.18,Matches,51c30111
2169,Nicolas de Préville,fr FRA,FWMF,Metz,fr Ligue 1,30,1991,27,24,1969,21.9,0.23,0.09,0.23,0.00,0.00,0.23,0.00,0.23,0.09,0.32,0.23,0.32,0.16,0.16,0.13,0.30,0.16,0.13,0.30,0.16,0.30,Matches,b0547a87
2170,Isaac Price,nir NIR,MF,Everton,eng Premier League,17,2003,1,0,14,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,0.81,0.00,0.81,0.81,0.81,Matches,b9403c99
2171,Manuel Prietl,at AUT,MF,Arminia,de Bundesliga,29,1991,26,23,2123,23.6,0.00,0.04,0.00,0.00,0.00,0.13,0.00,0.00,0.04,0.04,0.00,0.04,0.06,0.06,0.03,0.09,0.05,0.04,0.09,0.05,0.09,Matches,901c0f97
2172,Alejandro Primo,es ESP,GK,Levante,es La Liga,17,2004,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f38284bb
2173,Grischa Prömel,de GER,MF,Union Berlin,de Bundesliga,26,1995,29,28,2422,26.9,0.30,0.04,0.30,0.00,0.00,0.15,0.00,0.30,0.04,0.33,0.30,0.33,0.26,0.26,0.05,0.31,0.26,0.05,0.31,0.26,0.31,Matches,924f9191
2174,Nick Proschwitz,de GER,FW,Hoffenheim,de Bundesliga,34,1986,1,0,27,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.91,0.00,0.91,0.91,0.91,Matches,9cf4fd68
2175,Ivan Provedel,it ITA,GK,Spezia,it Serie A,27,1994,31,31,2761,30.7,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,277da414
2176,Javi Puado,es ESP,MFFW,Espanyol,es La Liga,23,1998,30,26,2245,24.9,0.16,0.04,0.16,0.00,0.00,0.20,0.00,0.16,0.04,0.20,0.16,0.20,0.20,0.20,0.05,0.26,0.20,0.05,0.26,0.20,0.26,Matches,2683eda7
2177,Pubill,es ESP,DFMF,Levante,es La Liga,18,2003,11,5,512,5.7,0.00,0.18,0.00,0.00,0.00,0.18,0.00,0.00,0.18,0.18,0.00,0.18,0.23,0.23,0.19,0.44,0.23,0.20,0.43,0.23,0.43,Matches,365113c0
2178,Antonio Puertas,es ESP,MFFW,Granada,es La Liga,29,1992,33,25,2261,25.1,0.24,0.04,0.24,0.00,0.00,0.16,0.00,0.24,0.04,0.28,0.24,0.28,0.17,0.17,0.06,0.23,0.17,0.06,0.23,0.17,0.23,Matches,c77a8043
