Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
55,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,31,1989,17,11,1132,12.6,0.08,0.16,0.08,0.00,0.00,0.24,0.00,0.08,0.16,0.24,0.08,0.24,0.04,0.04,0.13,0.17,0.04,0.14,0.18,0.04,0.18,Matches,b827d5b3
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,18,10,787,8.7,0.11,0.34,0.11,0.00,0.00,0.11,0.00,0.11,0.34,0.46,0.11,0.46,0.38,0.38,0.23,0.61,0.37,0.23,0.60,0.37,0.60,Matches,a7a9d95a
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,25,17,1534,17.0,0.06,0.24,0.06,0.00,0.00,0.12,0.00,0.06,0.23,0.29,0.06,0.29,0.14,0.14,0.15,0.28,0.13,0.15,0.28,0.13,0.28,Matches,77e84962
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,14,12,1105,12.3,0.16,0.00,0.16,0.00,0.00,0.57,0.00,0.16,0.00,0.16,0.16,0.16,0.13,0.13,0.09,0.22,0.13,0.09,0.22,0.13,0.22,Matches,036bba5f
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,29,28,2403,26.7,0.07,0.00,0.07,0.00,0.00,0.56,0.00,0.07,0.00,0.07,0.07,0.07,0.03,0.03,0.01,0.04,0.03,0.01,0.04,0.03,0.04,Matches,bb08bce9
60,Iván Alejo,es ESP,MF,Cádiz,es La Liga,26,1995,20,11,1065,11.8,0.17,0.17,0.17,0.00,0.00,0.59,0.00,0.17,0.17,0.34,0.17,0.34,0.11,0.11,0.19,0.31,0.11,0.19,0.30,0.11,0.30,Matches,3d7e48ce
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,12,1080,12.0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9e17ccff
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,33,30,2320,25.8,0.04,0.08,0.04,0.00,0.00,0.23,0.04,0.04,0.08,0.12,0.04,0.12,0.09,0.09,0.06,0.15,0.09,0.06,0.15,0.09,0.15,Matches,6c811eb7
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,32,32,2853,31.7,0.06,0.38,0.06,0.00,0.00,0.06,0.00,0.06,0.38,0.44,0.06,0.44,0.09,0.09,0.41,0.50,0.09,0.41,0.50,0.09,0.50,Matches,cd1acf9d
64,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,1,0,15,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,683a1d81
