Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
32,Cárdenas,es ESP,GK,Levante,es La Liga,24,1997,24.0,1.92,0.17,0.04,0.21,0.00,1.73,0.31,-0.19,-0.19,3.83,12.3,31.1,21.9,3.54,41.9,36.6,8.25,38.4,35.7,13.8,0.42,3.0,1.08,1.08,15.6,Matches,e1846dde
33,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,1986,14.0,1.21,0.00,0.00,0.07,0.00,1.23,0.29,0.01,+0.01,5.36,15.6,34.4,24.9,5.50,42.5,36.4,9.71,51.5,40.8,15.5,0.57,3.7,1.07,1.07,15.2,Matches,58bc7d18
34,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,1992,28.0,1.43,0.11,0.00,0.14,0.00,1.50,0.32,0.07,+0.07,5.89,13.2,44.6,31.2,4.82,30.6,32.3,7.29,50.5,42.1,14.8,1.11,7.5,1.07,1.07,14.8,Matches,db401046
35,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,26,1995,17.0,1.18,0.24,,,,,,,,,,,,,,,,,,,,,,,,Matches,f5dfc256
36,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,1989,16.2,1.79,0.31,0.00,0.25,0.12,1.77,0.31,0.10,+0.10,6.42,14.9,43.0,21.7,4.26,49.0,39.8,5.80,74.5,54.6,12.0,0.37,3.1,0.86,0.86,16.0,Matches,04ac8285
37,Diego Conde,es ESP,GK,Getafe,es La Liga,22,1998,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,60.0,0.0,40.0,0.00,100.0,61.0,20.0,100.0,68.0,50.0,10.0,20.0,0.00,0.00,5.0,Matches,4eae5bc4
38,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,36.9,1.71,0.22,0.00,0.27,0.03,1.52,0.28,-0.16,-0.16,5.04,11.7,43.2,33.0,4.72,29.0,30.9,6.67,31.7,28.8,13.3,0.57,4.3,0.81,0.81,13.4,Matches,8cabdc1e
39,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25.0,2.48,0.20,0.04,0.20,0.04,1.76,0.29,-0.68,-0.68,7.24,17.0,42.7,27.4,3.12,40.2,35.3,8.72,67.9,47.9,14.2,0.36,2.5,1.56,1.56,16.9,Matches,2434f24a
40,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36.0,0.81,0.06,0.03,0.06,0.00,0.92,0.25,0.12,+0.12,2.06,6.97,29.5,26.0,5.22,20.3,28.8,5.53,30.7,34.3,13.0,0.58,4.5,0.86,0.86,15.5,Matches,1840e36d
41,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35.0,1.80,0.17,0.11,0.29,0.03,1.50,0.28,-0.27,-0.27,9.17,20.1,45.7,25.4,3.20,52.9,39.4,9.03,73.4,48.2,13.8,0.63,4.5,0.94,0.94,15.0,Matches,f554e29b
42,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,23,1998,2.0,1.50,0.50,0.00,0.00,0.00,1.05,0.24,-0.45,-0.43,1.50,7.00,21.4,29.5,4.50,16.9,25.8,10.0,20.0,31.2,13.5,1.00,7.4,1.00,1.00,14.4,Matches,dee3013b
43,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8.0,1.88,0.25,0.00,0.13,0.13,1.19,0.21,-0.56,-0.56,9.00,20.4,44.2,23.4,3.50,61.5,44.5,7.75,77.4,56.7,13.3,0.63,4.7,0.50,0.50,10.5,Matches,cde3309f
44,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,14.5,2.28,0.21,0.00,0.21,0.07,1.54,0.30,-0.67,-0.67,2.21,9.17,24.1,20.8,3.66,28.8,30.2,7.72,41.1,33.8,11.0,0.34,3.1,0.28,0.28,10.6,Matches,e8c5dd4d
45,Javier Díaz,es ESP,GK,Sevilla,es La Liga,24,1997,1.0,1.00,0.00,0.00,0.00,0.00,0.60,0.28,-0.40,-0.45,5.00,10.0,50.0,31.0,2.00,25.8,29.1,3.00,66.7,49.3,17.0,1.00,5.9,0.00,0.00,13.7,Matches,17a1299d
46,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,30.8,1.20,0.23,0.00,0.10,0.03,1.22,0.23,0.06,+0.05,5.91,18.0,32.9,23.1,4.90,54.3,42.1,7.47,73.0,53.5,13.1,1.14,8.6,1.14,1.14,13.9,Matches,fc70e345
47,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38.0,1.13,0.11,0.00,0.03,0.05,1.14,0.27,0.06,+0.06,7.97,21.2,37.7,30.9,3.45,51.3,40.3,7.45,71.0,52.4,11.9,0.95,8.0,0.97,0.97,14.3,Matches,b6160ad0
48,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,23.5,1.53,0.09,0.00,0.30,0.09,1.20,0.27,-0.24,-0.24,3.91,12.9,30.5,24.9,4.55,36.6,33.7,6.55,57.1,40.6,12.9,0.98,7.6,1.19,1.19,14.2,Matches,62124972
49,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6.0,0.83,0.00,0.00,0.00,0.00,0.68,0.21,-0.15,-0.16,4.00,9.67,41.4,31.8,4.50,24.6,30.5,5.50,33.3,35.8,11.0,0.67,6.1,2.00,2.00,17.5,Matches,ac295d9e
50,Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,3.8,1.05,0.00,0.00,0.26,0.26,1.13,0.39,0.34,+0.34,7.63,17.6,43.3,19.7,1.84,56.0,42.6,8.42,78.1,52.6,17.4,0.26,1.5,0.53,0.52,9.3,Matches,c9cb972b
51,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17.0,1.00,0.06,0.00,0.18,0.06,1.03,0.27,0.09,+0.09,1.18,2.76,42.6,21.9,6.35,8.8,22.0,5.65,14.6,21.6,10.4,0.65,6.3,2.00,2.00,18.4,Matches,08f5afaa
52,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,6.2,1.29,0.16,0.00,0.16,0.00,1.31,0.24,0.02,+0.02,6.94,15.6,44.3,49.0,3.71,26.3,30.8,6.29,43.6,40.2,9.84,0.32,3.3,3.23,3.24,22.3,Matches,085e71a7
