Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
55,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,31,1989,12.6,20,1.59,12,4,0,0,3,1,3,0.24,2,0,0,0,0,1,Matches,b827d5b3
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,16,1.83,12,0,1,2,0,1,6,0.69,5,0,1,0,0,0,Matches,a7a9d95a
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,66,3.87,56,0,1,7,1,1,6,0.35,6,0,0,0,0,0,Matches,77e84962
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,39,3.18,28,5,1,2,3,0,1,0.08,1,0,0,0,0,0,Matches,036bba5f
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,17,0.64,13,0,1,0,0,3,2,0.07,2,0,0,0,0,0,Matches,bb08bce9
60,Iván Alejo,es ESP,MF,Cádiz,es La Liga,26,1995,11.8,36,3.04,31,1,3,1,0,0,4,0.34,3,0,1,0,0,0,Matches,3d7e48ce
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,1,0.08,1,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,9e17ccff
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,63,2.44,49,2,2,4,6,0,4,0.16,4,0,0,0,0,0,Matches,6c811eb7
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,161,5.08,95,53,3,7,1,2,18,0.57,13,4,0,1,0,0,Matches,cd1acf9d
64,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,683a1d81
65,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,42,2.06,23,0,11,2,5,1,7,0.34,4,0,0,2,1,0,Matches,f8405304
66,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,3,0.08,2,0,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches,7a2e46a8
67,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,37,1.53,34,0,1,0,1,1,7,0.29,5,0,1,0,1,0,Matches,cc700722
68,Jim Allevinah,ga GAB,MFFW,Clermont Foot,fr Ligue 1,26,1995,16.5,52,3.15,31,4,9,6,1,1,3,0.18,2,0,0,1,0,0,Matches,1956b948
69,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,1996,7.3,8,1.10,4,0,0,0,3,1,1,0.14,0,0,0,0,1,0,Matches,cea4ee8f
70,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25,1996,3.8,13,3.46,12,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches,cea4ee8f
71,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,49,2.57,36,0,3,8,2,0,4,0.21,3,0,1,0,0,0,Matches,862a1c15
72,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,92,3.82,66,16,3,5,2,0,10,0.42,7,2,0,1,0,0,Matches,f4290206
73,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,27,1.66,16,3,1,7,0,0,0,0.00,0,0,0,0,0,0,Matches,aa5322d5
74,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6f392eb8
75,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,18,0.87,16,1,0,0,0,1,1,0.05,1,0,0,0,0,0,Matches,3ecc11d8
76,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,34,2.79,26,7,0,0,1,0,4,0.33,4,0,0,0,0,0,Matches,c9e99e49
77,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,7,1.56,6,0,0,0,0,1,1,0.22,1,0,0,0,0,0,Matches,ad1f61f3
78,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9.0,10,1.11,8,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,9260926b
79,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,1,1.14,0,1,0,0,0,0,1,1.14,0,1,0,0,0,0,Matches,69c5633e
80,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,17,0.72,17,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,1a4ef233
81,Amath,sn SEN,MFFW,Mallorca,es La Liga,25,1996,9.8,24,2.44,11,1,2,4,4,2,3,0.31,1,0,0,2,0,0,Matches,f3b1d9a2
82,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,5,1.09,3,0,0,0,2,0,1,0.22,0,0,0,0,1,0,Matches,22721b88
83,Jordan Amavi,fr FRA,DFFW,Marseille,fr Ligue 1,27,1994,1.4,2,1.41,2,0,0,0,0,0,1,0.70,1,0,0,0,0,0,Matches,22721b88
